id_etudiant,prenom_etudiant,nom_etudiant,email,sex,date_naissance,mention,specialite,frais_scolarite,cours_rate,loisirs,date_debut,date_sortie
140,Penny,Taggerty,ptaggerty3v@soup.io,M,4/6/2005,trés bien,Business,"€4118,77",3.0,sport,11/16/2017,2/24/2021
141,Katti,Ruse,kruse3w@163.com,F,1/6/2000,trés bien,Business,"€2846,46",7.0,Jardinage,10/30/2017,6/10/2021
142,Abie,Dybell,adybell3x@so-net.ne.jp,M,16/9/2005,faible,ING-IT,"€2106,98",9.0,,5/16/2016,12/18/2023
143,Lorette,Shergill,lshergill3y@accuweather.com,F,18/7/2001,faible,Business,"€2796,21",0.0,,3/15/2017,8/18/2020
144,Chery,Dolton,cdolton3z@pagesperso-orange.fr,F,12/9/1994,passable,Prepa,"€2782,35",10.0,,4/30/2017,12/21/2021
145,Armin,Kubu,akubu40@usda.gov,M,29/12/2001,bien,ING-IT,"€2119,04",4.0,,4/4/2018,6/7/2023
146,Roberto,Willgoose,rwillgoose41@joomla.org,M,15/8/1992,passable,Licence-IT,"€4028,49",10.0,bricolage,6/13/2017,11/20/2020
147,Mitchell,Dutnell,mdutnell42@friendfeed.com,M,10/6/1994,passable,Business,"€3031,25",10.0,,8/14/2017,8/27/2023
148,Jeane,Vardie,jvardie43@usatoday.com,F,12/4/2005,bien,Licence-IT,"€4287,70",8.0,sport,5/20/2016,3/4/2024
149,Adara,Renvoise,arenvoise44@pinterest.com,F,10/9/1992,bien,Licence-IT,"€4034,82",3.0,,11/20/2018,2/20/2020
150,Isidore,Lark,ilark45@woothemes.com,M,2/10/1991,passable,Business,"€3534,71",8.0,,3/9/2018,4/10/2023
151,Lock,Jedrzejkiewicz,ljedrzejkiewicz46@chicagotribune.com,M,26/7/1993,passable,Licence-IT,"€4113,43",6.0,Danser,2/2/2018,8/30/2023
152,Rowen,Sellan,rsellan47@army.mil,M,28/5/1992,bien,Business,"€3071,79",0.0,Jardinage,6/3/2016,3/6/2023
153,Misha,Rangeley,mrangeley48@t-online.de,F,18/11/1991,trés bien,ING-IT,"€4929,29",8.0,bricolage,11/30/2015,6/5/2020
154,Cam,Reeks,creeks49@sphinn.com,F,16/5/2003,trés bien,ING-IT,"€2051,16",7.0,,2/12/2016,5/7/2024
155,Isabeau,Brilleman,ibrilleman4a@technorati.com,F,28/12/1990,passable,Business,"€2062,09",10.0,Danser,4/8/2017,6/1/2021
156,Bobbi,Brent,bbrent4b@blogspot.com,F,6/7/1997,passable,Prepa,"€3538,87",3.0,,1/17/2018,12/17/2023
157,Marius,Mallett,mmallett4c@usatoday.com,M,19/9/1995,bien,ING-IT,"€2166,25",6.0,,11/28/2016,2/22/2022
158,Susan,Davidow,sdavidow4d@geocities.jp,F,11/7/1993,faible,ING-IT,"€2153,42",2.0,,12/18/2015,6/30/2023
159,Gaspard,Frayling,gfrayling4e@unesco.org,M,16/1/2002,passable,Business,"€3929,96",7.0,,6/13/2017,11/11/2022
160,Thomasine,Spurdens,tspurdens4f@is.gd,F,2/1/1999,faible,ING-IT,"€3430,01",8.0,,11/22/2018,3/6/2021
161,Stevana,Ronchi,sronchi4g@about.me,F,9/5/2000,trés bien,ING-IT,"€3302,49",10.0,Jardinage,5/26/2017,12/14/2019
162,Milena,Labba,mlabba4h@yandex.ru,F,2/1/1998,faible,Business,,2.0,bricolage,1/12/2016,3/30/2020
163,Rozalin,Carlucci,rcarlucci4i@drupal.org,F,6/10/1997,bien,Licence-IT,"€3764,06",6.0,,9/1/2017,5/3/2024
164,Henryetta,Amerighi,hamerighi4j@imdb.com,F,7/8/1996,trés bien,Business,"€2189,99",7.0,,1/22/2017,9/1/2020
165,Der,Sagrott,dsagrott4k@bing.com,M,13/10/1998,bien,ING-IT,"€3202,42",4.0,Jardinage,6/28/2016,4/11/2021
166,Elisabetta,Kender,ekender4l@indiatimes.com,F,27/12/1999,passable,ING-IT,"€2304,27",4.0,sport,2/20/2016,6/10/2021
167,Carney,Foucard,cfoucard4m@amazon.de,M,27/8/2004,faible,Licence-IT,"€4681,80",4.0,bricolage,3/12/2016,8/15/2023
168,Sonya,Biddlecombe,sbiddlecombe4n@is.gd,F,15/5/2001,faible,Business,"€2655,94",8.0,,7/25/2017,8/11/2022
169,Chariot,Norvel,cnorvel4o@live.com,M,13/4/1990,trés bien,Licence-IT,"€3857,36",6.0,,4/11/2017,4/9/2024
170,Bourke,Christopher,bchristopher4p@ask.com,M,27/1/2000,bien,Business,"€2744,66",2.0,,3/29/2018,11/15/2022
171,Fallon,Coomber,fcoomber4q@indiatimes.com,F,27/11/1994,faible,ING-IT,"€2152,40",10.0,sport,4/22/2018,7/15/2021
172,Wally,Treece,wtreece4r@smugmug.com,F,3/3/1992,faible,Prepa,"€2635,73",2.0,,11/21/2018,5/29/2024
173,Angelika,Steinson,asteinson4s@msn.com,F,2/1/2001,passable,Prepa,"€4934,82",7.0,,8/17/2018,8/23/2024
174,Hube,Pacey,hpacey4t@hud.gov,M,16/2/1994,trés bien,Licence-IT,"€2524,28",6.0,,5/11/2016,12/28/2022
175,Ken,Razzell,krazzell4u@list-manage.com,M,9/2/1991,passable,Business,"€2472,39",7.0,,10/24/2017,3/7/2024
176,Rayna,Tibalt,rtibalt4v@oaic.gov.au,F,23/1/1997,trés bien,Prepa,"€4095,63",7.0,,9/21/2017,9/2/2024
177,Bartholemy,Parlott,bparlott4w@gnu.org,M,21/3/1999,bien,ING-IT,"€2944,67",9.0,bricolage,10/16/2016,5/6/2021
178,Burnard,Nunns,bnunns4x@comsenz.com,M,18/9/1992,trés bien,Business,"€3933,58",10.0,Jardinage,9/7/2017,11/24/2020
179,Robyn,Witterick,rwitterick4y@issuu.com,F,16/8/2000,passable,ING-IT,"€2826,00",9.0,,4/20/2018,9/19/2022
180,Gayleen,Rowlatt,growlatt4z@squarespace.com,F,24/8/1994,bien,Licence-IT,"€3898,80",2.0,,9/8/2016,6/12/2022
181,Gabbie,Fennelly,gfennelly50@twitpic.com,M,1/1/1992,bien,Licence-IT,"€3807,43",1.0,,2/12/2017,11/6/2020
182,Mortie,Jobes,mjobes51@squidoo.com,M,4/8/1994,faible,Business,"€3687,99",3.0,Jardinage,3/4/2018,7/15/2023
183,Fidole,Dewfall,fdewfall52@globo.com,M,20/10/2001,faible,Licence-IT,"€4523,56",6.0,,8/11/2016,4/5/2024
184,Zelig,Erat,zerat53@wunderground.com,M,11/1/1992,bien,Prepa,"€2484,93",7.0,bricolage,4/16/2016,12/28/2021
185,Row,Caughey,rcaughey54@prweb.com,F,19/2/1991,trés bien,Licence-IT,"€3037,86",6.0,,1/13/2016,5/25/2023
186,Roze,Sighard,rsighard55@wikimedia.org,F,13/1/1994,passable,ING-IT,"€3974,54",4.0,,12/1/2015,2/28/2023
187,Dorie,Bevens,dbevens56@behance.net,M,4/10/1990,faible,Prepa,"€2662,72",1.0,bricolage,10/19/2018,5/26/2023
188,Sammie,Tunnacliffe,stunnacliffe57@webeden.co.uk,M,5/8/1996,trés bien,Licence-IT,"€4834,83",7.0,,10/2/2016,5/20/2024
189,Ermentrude,Aylin,eaylin58@noaa.gov,F,4/2/1995,faible,Business,"€3103,92",5.0,,7/27/2017,3/21/2022
190,Em,Grieveson,egrieveson59@moonfruit.com,F,6/9/1997,trés bien,Business,"€2806,72",2.0,Danser,7/14/2016,3/14/2024
191,Oberon,Juris,ojuris5a@sitemeter.com,M,27/12/2002,trés bien,Prepa,"€2156,94",8.0,,6/2/2018,8/22/2022
192,Thomasine,Misken,tmisken5b@tumblr.com,F,1/1/1999,trés bien,Licence-IT,"€3898,69",2.0,bricolage,7/21/2016,3/12/2020
193,Faun,Bocock,fbocock5c@last.fm,F,15/11/1992,trés bien,Prepa,"€2010,70",6.0,bricolage,2/11/2017,2/25/2021
194,Brigid,MacKnocker,bmacknocker5d@google.ru,F,21/7/1996,trés bien,Prepa,"€3623,08",5.0,,2/6/2016,5/16/2023
